Product Size,Weight Kgs,Thick MM,Gauges,Category,forecast_month,week_label,week_start_day,week_end_day,weekly_share,predicted_weekly_demand,predicted_monthly_demand,allocation_basis
"1""",11-12 Kgs,2.35 mm,12,Running,January,Week 1,1,7,0.225806,6.066,26.863,calendar_day_share
"1""",11-12 Kgs,2.35 mm,12,Running,January,Week 2,8,14,0.225806,6.066,26.863,calendar_day_share
"1""",11-12 Kgs,2.35 mm,12,Running,January,Week 3,15,21,0.225806,6.066,26.863,calendar_day_share
"1""",11-12 Kgs,2.35 mm,12,Running,January,Week 4,22,28,0.225806,6.066,26.863,calendar_day_share
"1""",11-12 Kgs,2.35 mm,12,Running,January,Week 5,29,31,0.096774,2.6,26.863,calendar_day_share
"1""",13-14 Kgs,2.35 mm,10,Running,January,Week 1,1,7,0.225806,35.549,157.433,calendar_day_share
"1""",13-14 Kgs,2.35 mm,10,Running,January,Week 2,8,14,0.225806,35.549,157.433,calendar_day_share
"1""",13-14 Kgs,2.35 mm,10,Running,January,Week 3,15,21,0.225806,35.549,157.433,calendar_day_share
"1""",13-14 Kgs,2.35 mm,10,Running,January,Week 4,22,28,0.225806,35.549,157.433,calendar_day_share
"1""",13-14 Kgs,2.35 mm,10,Running,January,Week 5,29,31,0.096774,15.235,157.433,calendar_day_share
"1""",13-14 Kgs,3.25 mm,10,Running,January,Week 1,1,7,0.225806,0.355,1.574,calendar_day_share
"1""",13-14 Kgs,3.25 mm,10,Running,January,Week 2,8,14,0.225806,0.355,1.574,calendar_day_share
"1""",13-14 Kgs,3.25 mm,10,Running,January,Week 3,15,21,0.225806,0.355,1.574,calendar_day_share
"1""",13-14 Kgs,3.25 mm,10,Running,January,Week 4,22,28,0.225806,0.355,1.574,calendar_day_share
"1""",13-14 Kgs,3.25 mm,10,Running,January,Week 5,29,31,0.096774,0.152,1.574,calendar_day_share
"1""",17-18 Kgs,3.25 mm,10,Running,January,Week 1,1,7,0.225806,3.26,14.436,calendar_day_share
"1""",17-18 Kgs,3.25 mm,10,Running,January,Week 2,8,14,0.225806,3.26,14.436,calendar_day_share
"1""",17-18 Kgs,3.25 mm,10,Running,January,Week 3,15,21,0.225806,3.26,14.436,calendar_day_share
"1""",17-18 Kgs,3.25 mm,10,Running,January,Week 4,22,28,0.225806,3.26,14.436,calendar_day_share
"1""",17-18 Kgs,3.25 mm,10,Running,January,Week 5,29,31,0.096774,1.397,14.436,calendar_day_share
"1""",7-8 Kgs,1.6 mm,16,Running,January,Week 1,1,7,0.225806,11.932,52.843,calendar_day_share
"1""",7-8 Kgs,1.6 mm,16,Running,January,Week 2,8,14,0.225806,11.932,52.843,calendar_day_share
"1""",7-8 Kgs,1.6 mm,16,Running,January,Week 3,15,21,0.225806,11.932,52.843,calendar_day_share
"1""",7-8 Kgs,1.6 mm,16,Running,January,Week 4,22,28,0.225806,11.932,52.843,calendar_day_share
"1""",7-8 Kgs,1.6 mm,16,Running,January,Week 5,29,31,0.096774,5.114,52.843,calendar_day_share
"1""",9-10 Kgs,2 mm,14,Running,January,Week 1,1,7,0.225806,50.716,224.601,calendar_day_share
"1""",9-10 Kgs,2 mm,14,Running,January,Week 2,8,14,0.225806,50.716,224.601,calendar_day_share
"1""",9-10 Kgs,2 mm,14,Running,January,Week 3,15,21,0.225806,50.716,224.601,calendar_day_share
"1""",9-10 Kgs,2 mm,14,Running,January,Week 4,22,28,0.225806,50.716,224.601,calendar_day_share
"1""",9-10 Kgs,2 mm,14,Running,January,Week 5,29,31,0.096774,21.736,224.601,calendar_day_share
"1""",Unknown,Unknown,10,Running,January,Week 1,1,7,0.225806,0.008,0.035,calendar_day_share
"1""",Unknown,Unknown,10,Running,January,Week 2,8,14,0.225806,0.008,0.035,calendar_day_share
"1""",Unknown,Unknown,10,Running,January,Week 3,15,21,0.225806,0.008,0.035,calendar_day_share
"1""",Unknown,Unknown,10,Running,January,Week 4,22,28,0.225806,0.008,0.035,calendar_day_share
"1""",Unknown,Unknown,10,Running,January,Week 5,29,31,0.096774,0.003,0.035,calendar_day_share
"1¼""",10-11 Kgs,1.6 mm,16,Running,January,Week 1,1,7,0.225806,11.821,52.35,calendar_day_share
"1¼""",10-11 Kgs,1.6 mm,16,Running,January,Week 2,8,14,0.225806,11.821,52.35,calendar_day_share
"1¼""",10-11 Kgs,1.6 mm,16,Running,January,Week 3,15,21,0.225806,11.821,52.35,calendar_day_share
"1¼""",10-11 Kgs,1.6 mm,16,Running,January,Week 4,22,28,0.225806,11.821,52.35,calendar_day_share
"1¼""",10-11 Kgs,1.6 mm,16,Running,January,Week 5,29,31,0.096774,5.066,52.35,calendar_day_share
"1¼""",12-13 Kgs,2 mm,14,Running,January,Week 1,1,7,0.225806,21.761,96.371,calendar_day_share
"1¼""",12-13 Kgs,2 mm,14,Running,January,Week 2,8,14,0.225806,21.761,96.371,calendar_day_share
"1¼""",12-13 Kgs,2 mm,14,Running,January,Week 3,15,21,0.225806,21.761,96.371,calendar_day_share
"1¼""",12-13 Kgs,2 mm,14,Running,January,Week 4,22,28,0.225806,21.761,96.371,calendar_day_share
"1¼""",12-13 Kgs,2 mm,14,Running,January,Week 5,29,31,0.096774,9.326,96.371,calendar_day_share
"1¼""",15-16 Kgs,2.65 mm,12,Running,January,Week 1,1,7,0.225806,15.654,69.327,calendar_day_share
"1¼""",15-16 Kgs,2.65 mm,12,Running,January,Week 2,8,14,0.225806,15.654,69.327,calendar_day_share
"1¼""",15-16 Kgs,2.65 mm,12,Running,January,Week 3,15,21,0.225806,15.654,69.327,calendar_day_share
"1¼""",15-16 Kgs,2.65 mm,12,Running,January,Week 4,22,28,0.225806,15.654,69.327,calendar_day_share
"1¼""",15-16 Kgs,2.65 mm,12,Running,January,Week 5,29,31,0.096774,6.709,69.327,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,January,Week 1,1,7,0.225806,0.542,2.401,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,January,Week 2,8,14,0.225806,0.542,2.401,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,January,Week 3,15,21,0.225806,0.542,2.401,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,January,Week 4,22,28,0.225806,0.542,2.401,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,January,Week 5,29,31,0.096774,0.232,2.401,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,January,Week 1,1,7,0.225806,14.913,66.043,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,January,Week 2,8,14,0.225806,14.913,66.043,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,January,Week 3,15,21,0.225806,14.913,66.043,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,January,Week 4,22,28,0.225806,14.913,66.043,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,January,Week 5,29,31,0.096774,6.391,66.043,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,January,Week 1,1,7,0.225806,3.777,16.725,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,January,Week 2,8,14,0.225806,3.777,16.725,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,January,Week 3,15,21,0.225806,3.777,16.725,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,January,Week 4,22,28,0.225806,3.777,16.725,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,January,Week 5,29,31,0.096774,1.619,16.725,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,January,Week 1,1,7,0.225806,0.185,0.821,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,January,Week 2,8,14,0.225806,0.185,0.821,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,January,Week 3,15,21,0.225806,0.185,0.821,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,January,Week 4,22,28,0.225806,0.185,0.821,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,January,Week 5,29,31,0.096774,0.079,0.821,calendar_day_share
