Product Size,Weight Kgs,Thick MM,Gauges,Category,forecast_month,week_label,week_start_day,week_end_day,weekly_share,predicted_weekly_demand,predicted_monthly_demand,allocation_basis
"1""",11-12 Kgs,2.35 mm,12,Running,July,Week 1,1,7,0.225806,6.315,27.968,calendar_day_share
"1""",11-12 Kgs,2.35 mm,12,Running,July,Week 2,8,14,0.225806,6.315,27.968,calendar_day_share
"1""",11-12 Kgs,2.35 mm,12,Running,July,Week 3,15,21,0.225806,6.315,27.968,calendar_day_share
"1""",11-12 Kgs,2.35 mm,12,Running,July,Week 4,22,28,0.225806,6.315,27.968,calendar_day_share
"1""",11-12 Kgs,2.35 mm,12,Running,July,Week 5,29,31,0.096774,2.707,27.968,calendar_day_share
"1""",13-14 Kgs,2.35 mm,10,Running,July,Week 1,1,7,0.225806,0.063,0.279,calendar_day_share
"1""",13-14 Kgs,2.35 mm,10,Running,July,Week 2,8,14,0.225806,0.063,0.279,calendar_day_share
"1""",13-14 Kgs,2.35 mm,10,Running,July,Week 3,15,21,0.225806,0.063,0.279,calendar_day_share
"1""",13-14 Kgs,2.35 mm,10,Running,July,Week 4,22,28,0.225806,0.063,0.279,calendar_day_share
"1""",13-14 Kgs,2.35 mm,10,Running,July,Week 5,29,31,0.096774,0.027,0.279,calendar_day_share
"1""",13-14 Kgs,3.25 mm,10,Running,July,Week 1,1,7,0.225806,49.011,217.05,calendar_day_share
"1""",13-14 Kgs,3.25 mm,10,Running,July,Week 2,8,14,0.225806,49.011,217.05,calendar_day_share
"1""",13-14 Kgs,3.25 mm,10,Running,July,Week 3,15,21,0.225806,49.011,217.05,calendar_day_share
"1""",13-14 Kgs,3.25 mm,10,Running,July,Week 4,22,28,0.225806,49.011,217.05,calendar_day_share
"1""",13-14 Kgs,3.25 mm,10,Running,July,Week 5,29,31,0.096774,21.005,217.05,calendar_day_share
"1""",17-18 Kgs,3.25 mm,10,Running,July,Week 1,1,7,0.225806,0.024,0.108,calendar_day_share
"1""",17-18 Kgs,3.25 mm,10,Running,July,Week 2,8,14,0.225806,0.024,0.108,calendar_day_share
"1""",17-18 Kgs,3.25 mm,10,Running,July,Week 3,15,21,0.225806,0.024,0.108,calendar_day_share
"1""",17-18 Kgs,3.25 mm,10,Running,July,Week 4,22,28,0.225806,0.024,0.108,calendar_day_share
"1""",17-18 Kgs,3.25 mm,10,Running,July,Week 5,29,31,0.096774,0.01,0.108,calendar_day_share
"1""",7-8 Kgs,1.6 mm,16,Running,July,Week 1,1,7,0.225806,0.463,2.05,calendar_day_share
"1""",7-8 Kgs,1.6 mm,16,Running,July,Week 2,8,14,0.225806,0.463,2.05,calendar_day_share
"1""",7-8 Kgs,1.6 mm,16,Running,July,Week 3,15,21,0.225806,0.463,2.05,calendar_day_share
"1""",7-8 Kgs,1.6 mm,16,Running,July,Week 4,22,28,0.225806,0.463,2.05,calendar_day_share
"1""",7-8 Kgs,1.6 mm,16,Running,July,Week 5,29,31,0.096774,0.198,2.05,calendar_day_share
"1""",9-10 Kgs,2 mm,14,Running,July,Week 1,1,7,0.225806,2.264,10.028,calendar_day_share
"1""",9-10 Kgs,2 mm,14,Running,July,Week 2,8,14,0.225806,2.264,10.028,calendar_day_share
"1""",9-10 Kgs,2 mm,14,Running,July,Week 3,15,21,0.225806,2.264,10.028,calendar_day_share
"1""",9-10 Kgs,2 mm,14,Running,July,Week 4,22,28,0.225806,2.264,10.028,calendar_day_share
"1""",9-10 Kgs,2 mm,14,Running,July,Week 5,29,31,0.096774,0.97,10.028,calendar_day_share
"1""",Unknown,Unknown,10,Running,July,Week 1,1,7,0.225806,14.258,63.143,calendar_day_share
"1""",Unknown,Unknown,10,Running,July,Week 2,8,14,0.225806,14.258,63.143,calendar_day_share
"1""",Unknown,Unknown,10,Running,July,Week 3,15,21,0.225806,14.258,63.143,calendar_day_share
"1""",Unknown,Unknown,10,Running,July,Week 4,22,28,0.225806,14.258,63.143,calendar_day_share
"1""",Unknown,Unknown,10,Running,July,Week 5,29,31,0.096774,6.111,63.143,calendar_day_share
"1¼""",10-11 Kgs,1.6 mm,16,Running,July,Week 1,1,7,0.225806,6.56,29.052,calendar_day_share
"1¼""",10-11 Kgs,1.6 mm,16,Running,July,Week 2,8,14,0.225806,6.56,29.052,calendar_day_share
"1¼""",10-11 Kgs,1.6 mm,16,Running,July,Week 3,15,21,0.225806,6.56,29.052,calendar_day_share
"1¼""",10-11 Kgs,1.6 mm,16,Running,July,Week 4,22,28,0.225806,6.56,29.052,calendar_day_share
"1¼""",10-11 Kgs,1.6 mm,16,Running,July,Week 5,29,31,0.096774,2.811,29.052,calendar_day_share
"1¼""",12-13 Kgs,2 mm,14,Running,July,Week 1,1,7,0.225806,22.097,97.858,calendar_day_share
"1¼""",12-13 Kgs,2 mm,14,Running,July,Week 2,8,14,0.225806,22.097,97.858,calendar_day_share
"1¼""",12-13 Kgs,2 mm,14,Running,July,Week 3,15,21,0.225806,22.097,97.858,calendar_day_share
"1¼""",12-13 Kgs,2 mm,14,Running,July,Week 4,22,28,0.225806,22.097,97.858,calendar_day_share
"1¼""",12-13 Kgs,2 mm,14,Running,July,Week 5,29,31,0.096774,9.47,97.858,calendar_day_share
"1¼""",15-16 Kgs,2.65 mm,12,Running,July,Week 1,1,7,0.225806,0.918,4.067,calendar_day_share
"1¼""",15-16 Kgs,2.65 mm,12,Running,July,Week 2,8,14,0.225806,0.918,4.067,calendar_day_share
"1¼""",15-16 Kgs,2.65 mm,12,Running,July,Week 3,15,21,0.225806,0.918,4.067,calendar_day_share
"1¼""",15-16 Kgs,2.65 mm,12,Running,July,Week 4,22,28,0.225806,0.918,4.067,calendar_day_share
"1¼""",15-16 Kgs,2.65 mm,12,Running,July,Week 5,29,31,0.096774,0.394,4.067,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,July,Week 1,1,7,0.225806,9.083,40.225,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,July,Week 2,8,14,0.225806,9.083,40.225,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,July,Week 3,15,21,0.225806,9.083,40.225,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,July,Week 4,22,28,0.225806,9.083,40.225,calendar_day_share
"1¼""",17-18 Kgs,2.65 mm,12,Running,July,Week 5,29,31,0.096774,3.893,40.225,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,July,Week 1,1,7,0.225806,0.024,0.108,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,July,Week 2,8,14,0.225806,0.024,0.108,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,July,Week 3,15,21,0.225806,0.024,0.108,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,July,Week 4,22,28,0.225806,0.024,0.108,calendar_day_share
"1¼""",17-18 Kgs,3 mm,10,Running,July,Week 5,29,31,0.096774,0.01,0.108,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,July,Week 1,1,7,0.225806,5.568,24.657,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,July,Week 2,8,14,0.225806,5.568,24.657,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,July,Week 3,15,21,0.225806,5.568,24.657,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,July,Week 4,22,28,0.225806,5.568,24.657,calendar_day_share
"1¼""",19-20 Kgs,3 mm,10,Running,July,Week 5,29,31,0.096774,2.386,24.657,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,July,Week 1,1,7,0.225806,0.669,2.963,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,July,Week 2,8,14,0.225806,0.669,2.963,calendar_day_share
"1¼""",21-22 Kgs,3.65 mm,9,Running,July,Week 3,15,21,0.225806,0.669,2.963,calendar_day_share
